2023-2024,Round,Day,Date,Time,Home,Score,Away,Venue,Match Report,Notes
2023-2024,Round of 16,Tue,2024-02-13,21:00,RB Leipzigde,0-1,esReal Madrid,Red Bull Arena,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-02-13,21:00,FC Copenhagendk,1-3,engManchester City,Parken,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-14,21:00,Paris S-Gfr,2-0,esReal Sociedad,Parc des Princes,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-14,21:00,Lazioit,1-0,deBayern Munich,Stadio Olimpico,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-02-20,21:00,PSV Eindhovennl,1-1,deDortmund,Philips Stadion,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-02-20,21:00,Interit,1-0,esAtlético Madrid,Stadio Giuseppe Meazza,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-21,20:00,Portopt,1-0,engArsenal,Estádio Do Dragão,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-21,21:00,Napoliit,1-1,esBarcelona,Stadio Diego Armando Maradona,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-03-05,21:00,Real Sociedades,1-2,frParis S-G,Reale Arena,Match Report,Leg 2 of 2; Paris S-G won
2023-2024,Round of 16,Tue,2024-03-05,21:00,Bayern Munichde,3-0,itLazio,Allianz Arena,Match Report,Leg 2 of 2; Bayern Munich won
2023-2024,Round of 16,Wed,2024-03-06,20:00,Manchester Cityeng,3-1,dkFC Copenhagen,Etihad Stadium,Match Report,Leg 2 of 2; Manchester City won
2023-2024,Round of 16,Wed,2024-03-06,21:00,Real Madrides,1-1,deRB Leipzig,Estadio Santiago Bernabéu,Match Report,Leg 2 of 2; Real Madrid won
2023-2024,Round of 16,Tue,2024-03-12,20:00,Arsenaleng,1-0,ptPorto,Emirates Stadium,Match Report,Leg 2 of 2; Arsenal won; Arsenal won on penalty kicks following extra time
2023-2024,Round of 16,Tue,2024-03-12,21:00,Barcelonaes,3-1,itNapoli,Estadi Olímpic Lluís Companys,Match Report,Leg 2 of 2; Barcelona won
2023-2024,Round of 16,Wed,2024-03-13,21:00,Atlético Madrides,2-1,itInter,Stadium Metropolitano,Match Report,Leg 2 of 2; Atlético Madrid won; Atlético Madrid won on penalty kicks following extra time
2023-2024,Round of 16,Wed,2024-03-13,21:00,Dortmundde,2-0,nlPSV Eindhoven,Signal Iduna Park,Match Report,Leg 2 of 2; Dortmund won
2023-2024,Quarter-finals,Tue,2024-04-09,20:00,Arsenaleng,2-2,deBayern Munich,Emirates Stadium,Match Report,Leg 1 of 2
2023-2024,Quarter-finals,Tue,2024-04-09,21:00,Real Madrides,3-3,engManchester City,Estadio Santiago Bernabéu,Match Report,Leg 1 of 2
2023-2024,Quarter-finals,Wed,2024-04-10,21:00,Atlético Madrides,2-1,deDortmund,Estadio Cívitas Metropolitano,Match Report,Leg 1 of 2
2023-2024,Quarter-finals,Wed,2024-04-10,21:00,Paris S-Gfr,2-3,esBarcelona,Parc des Princes,Match Report,Leg 1 of 2
2023-2024,Quarter-finals,Tue,2024-04-16,21:00,Dortmundde,4-2,esAtlético Madrid,Signal Iduna Park,Match Report,Leg 2 of 2; Dortmund won
2023-2024,Quarter-finals,Tue,2024-04-16,21:00,Barcelonaes,1-4,frParis S-G,Estadi Olímpic Lluís Companys,Match Report,Leg 2 of 2; Paris S-G won
2023-2024,Quarter-finals,Wed,2024-04-17,20:00,Manchester Cityeng,1-1,esReal Madrid,Etihad Stadium,Match Report,Leg 2 of 2; Real Madrid won; Real Madrid won on penalty kicks following extra time
2023-2024,Quarter-finals,Wed,2024-04-17,21:00,Bayern Munichde,1-0,engArsenal,Allianz Arena,Match Report,Leg 2 of 2; Bayern Munich won
